Time,Channel A
(ms),(V)

-0.20020000,0.00000000
-0.20009600,0.00000000
-0.19999200,0.00000000
-0.19988800,0.00000000
-0.19978400,0.09350394
-0.19968000,0.00000000
-0.19957600,0.00000000
-0.19947200,0.09350394
-0.19936800,0.00000000
-0.19926400,0.00000000
-0.19916000,0.09350394
-0.19905600,0.09350394
-0.19895200,0.00000000
-0.19884800,0.00000000
-0.19874400,0.09350394
-0.19864000,0.00000000
-0.19853600,0.09350394
-0.19843200,0.00000000
-0.19832800,0.09350394
-0.19822400,0.00000000
-0.19812000,0.00000000
-0.19801600,0.00000000
-0.19791200,0.09350394
-0.19780800,0.00000000
-0.19770400,0.09350394
-0.19760000,0.00000000
-0.19749600,0.00000000
-0.19739200,0.00000000
-0.19728800,0.09350394
-0.19718400,0.00000000
-0.19708000,0.09350394
-0.19697600,0.00000000
-0.19687200,0.00000000
-0.19676800,0.00000000
-0.19666400,0.00000000
-0.19656000,0.00000000
-0.19645600,0.09350394
-0.19635200,0.09350394
-0.19624800,0.09350394
-0.19614400,0.00000000
-0.19604000,0.00000000
-0.19593600,0.00000000
-0.19583200,0.00000000
-0.19572800,0.09350394
-0.19562400,0.00000000
-0.19552000,0.00000000
-0.19541600,0.00000000
-0.19531200,0.00000000
-0.19520800,0.00000000
-0.19510400,0.00000000
-0.19500000,0.00000000
-0.19489600,0.00000000
-0.19479200,0.00000000
-0.19468800,0.00000000
-0.19458400,0.00000000
-0.19448000,0.00000000
-0.19437600,0.09350394
-0.19427200,0.00000000
-0.19416800,0.00000000
-0.19406400,0.00000000
-0.19396000,0.00000000
-0.19385600,0.00000000
-0.19375200,0.00000000
-0.19364800,0.00000000
-0.19354400,0.00000000
-0.19344000,0.00000000
-0.19333600,0.00000000
-0.19323200,0.00000000
-0.19312800,0.00000000
-0.19302400,0.00000000
-0.19292000,0.00000000
-0.19281600,0.00000000
-0.19271200,0.09350394
-0.19260800,0.00000000
-0.19250400,0.09350394
-0.19240000,0.00000000
-0.19229600,0.09350394
-0.19219200,0.09350394
-0.19208800,0.09350394
-0.19198400,0.00000000
-0.19188000,0.09350394
-0.19177600,0.09350394
-0.19167200,0.09350394
-0.19156800,0.00000000
-0.19146400,0.09350394
-0.19136000,0.09350394
-0.19125600,0.09350394
-0.19115200,0.09350394
-0.19104800,0.09350394
-0.19094400,0.09350394
-0.19084000,0.09350394
-0.19073600,0.09350394
-0.19063200,0.09350394
-0.19052800,0.09350394
-0.19042400,0.09350394
-0.19032000,0.00000000
-0.19021600,0.09350394
-0.19011200,0.09350394
-0.19000800,0.09350394
-0.18990400,0.09350394
-0.18980000,0.09350394
-0.18969600,0.09350394
-0.18959200,0.09350394
-0.18948800,0.00000000
-0.18938400,0.09350394
-0.18928000,0.09350394
-0.18917600,0.09350394
-0.18907200,0.09350394
-0.18896800,0.00000000
-0.18886400,0.00000000
-0.18876000,0.09350394
-0.18865600,0.09350394
-0.18855200,0.00000000
-0.18844800,0.09350394
-0.18834400,0.09350394
-0.18824000,0.00000000
-0.18813600,0.09350394
-0.18803200,0.00000000
