Time,Channel A
(ms),(V)

-0.40023996,0.00000000
-0.40003996,0.04675197
-0.39983996,0.00000000
-0.39963996,0.00000000
-0.39943996,0.00000000
-0.39923996,0.04675197
-0.39903996,0.04675197
-0.39883996,0.00000000
-0.39863996,0.04675197
-0.39843996,0.00000000
-0.39823996,0.04675197
-0.39803996,0.04675197
-0.39783996,0.04675197
-0.39763996,0.00000000
-0.39743996,0.04675197
-0.39723996,0.00000000
-0.39703996,0.04675197
-0.39683996,0.04675197
-0.39663996,0.04675197
-0.39643996,0.00000000
-0.39623996,0.04675197
-0.39603996,0.00000000
-0.39583996,0.00000000
-0.39563996,0.00000000
-0.39543996,0.04675197
-0.39523996,0.00000000
-0.39503996,0.00000000
-0.39483996,0.00000000
-0.39463996,0.04675197
-0.39443996,0.00000000
-0.39423996,0.04675197
-0.39403996,0.00000000
-0.39383996,0.04675197
-0.39363996,-0.04675197
-0.39343996,0.00000000
-0.39323996,0.00000000
-0.39303996,0.00000000
-0.39283996,0.00000000
-0.39263996,0.04675197
-0.39243996,0.04675197
-0.39223996,0.00000000
-0.39203996,0.00000000
-0.39183996,0.04675197
-0.39163996,0.00000000
-0.39143996,0.09350394
-0.39123996,0.00000000
-0.39103996,0.04675197
-0.39083996,0.00000000
-0.39063996,0.04675197
-0.39043996,0.00000000
-0.39023996,0.04675197
-0.39003996,0.00000000
-0.38983996,0.04675197
-0.38963996,-0.04675197
-0.38943996,0.04675197
-0.38923996,0.00000000
-0.38903996,0.00000000
-0.38883996,0.00000000
-0.38863996,0.00000000
-0.38843996,0.00000000
-0.38823996,0.04675197
-0.38803996,0.04675197
-0.38783996,0.04675197
-0.38763996,0.00000000
-0.38743996,0.00000000
-0.38723996,0.00000000
-0.38703996,0.00000000
-0.38683996,0.00000000
-0.38663996,0.00000000
-0.38643996,0.00000000
-0.38623996,0.00000000
-0.38603996,0.00000000
-0.38583996,0.00000000
-0.38563996,0.00000000
-0.38543996,0.04675197
-0.38523996,0.00000000
-0.38503996,0.04675197
-0.38483996,-0.04675197
-0.38463996,-0.04675197
-0.38443996,-0.04675197
-0.38423996,0.00000000
-0.38403996,0.04675197
-0.38383996,0.00000000
-0.38363996,0.00000000
-0.38343996,0.09350394
-0.38323996,0.00000000
-0.38303996,0.04675197
-0.38283996,0.00000000
-0.38263996,0.04675197
-0.38243996,0.00000000
-0.38223996,0.04675197
-0.38203996,0.00000000
-0.38183996,0.00000000
-0.38163996,0.00000000
-0.38143996,0.04675197
-0.38123996,0.00000000
-0.38103996,0.00000000
-0.38083996,0.00000000
-0.38063997,0.04675197
-0.38043997,0.00000000
-0.38023997,0.00000000
-0.38003997,0.04675197
-0.37983997,0.00000000
-0.37963997,0.00000000
-0.37943997,0.04675197
-0.37923997,0.00000000
-0.37903997,0.00000000
-0.37883997,0.00000000
-0.37863997,0.04675197
-0.37843997,0.00000000
-0.37823997,0.00000000
-0.37803997,0.04675197
-0.37783997,0.04675197
-0.37763997,0.00000000
-0.37743997,0.00000000
-0.37723997,0.00000000
-0.37703997,0.04675197
-0.37683997,0.00000000
