Time,Channel A
(ms),(V)

-0.40024996,0.04675197
-0.40004996,0.00000000
-0.39984996,0.00000000
-0.39964996,0.00000000
-0.39944996,0.00000000
-0.39924996,0.04675197
-0.39904996,0.00000000
-0.39884996,0.00000000
-0.39864996,0.00000000
-0.39844996,0.04675197
-0.39824996,0.04675197
-0.39804996,0.04675197
-0.39784996,0.04675197
-0.39764996,0.04675197
-0.39744996,0.00000000
-0.39724996,0.09350394
-0.39704996,0.04675197
-0.39684996,0.04675197
-0.39664996,0.09350394
-0.39644996,0.00000000
-0.39624996,0.04675197
-0.39604996,0.04675197
-0.39584996,0.04675197
-0.39564996,0.04675197
-0.39544996,0.04675197
-0.39524996,0.04675197
-0.39504996,0.04675197
-0.39484996,0.04675197
-0.39464996,0.04675197
-0.39444996,0.00000000
-0.39424996,0.04675197
-0.39404996,0.04675197
-0.39384996,0.04675197
-0.39364996,0.04675197
-0.39344996,0.09350394
-0.39324996,0.04675197
-0.39304996,0.04675197
-0.39284996,0.04675197
-0.39264996,0.04675197
-0.39244996,0.04675197
-0.39224996,0.04675197
-0.39204996,0.09350394
-0.39184996,0.09350394
-0.39164996,0.09350394
-0.39144996,0.04675197
-0.39124996,0.09350394
-0.39104996,0.09350394
-0.39084996,0.04675197
-0.39064996,0.04675197
-0.39044996,0.09350394
-0.39024996,0.00000000
-0.39004996,0.00000000
-0.38984996,0.04675197
-0.38964996,0.04675197
-0.38944996,0.04675197
-0.38924996,0.04675197
-0.38904996,0.00000000
-0.38884996,0.00000000
-0.38864996,0.04675197
-0.38844996,0.00000000
-0.38824996,0.00000000
-0.38804996,0.00000000
-0.38784996,0.04675197
-0.38764996,0.04675197
-0.38744996,0.00000000
-0.38724996,0.04675197
-0.38704996,0.00000000
-0.38684996,0.00000000
-0.38664996,0.04675197
-0.38644996,0.00000000
-0.38624996,0.04675197
-0.38604996,0.00000000
-0.38584996,0.00000000
-0.38564996,0.04675197
-0.38544996,0.00000000
-0.38524996,0.04675197
-0.38504996,0.00000000
-0.38484996,0.00000000
-0.38464996,0.00000000
-0.38444996,0.04675197
-0.38424996,0.00000000
-0.38404996,0.04675197
-0.38384996,-0.04675197
-0.38364996,0.04675197
-0.38344996,-0.04675197
-0.38324996,0.04675197
-0.38304996,0.00000000
-0.38284996,0.04675197
-0.38264996,0.00000000
-0.38244996,0.00000000
-0.38224996,0.00000000
-0.38204996,0.00000000
-0.38184996,0.04675197
-0.38164996,0.00000000
-0.38144996,0.00000000
-0.38124996,0.00000000
-0.38104996,0.00000000
-0.38084996,0.00000000
-0.38064996,0.00000000
-0.38044997,0.00000000
-0.38024997,0.00000000
-0.38004997,0.04675197
-0.37984997,0.00000000
-0.37964997,0.00000000
-0.37944997,0.00000000
-0.37924997,0.00000000
-0.37904997,0.00000000
-0.37884997,0.04675197
-0.37864997,0.00000000
-0.37844997,0.00000000
-0.37824997,0.00000000
-0.37804997,0.04675197
-0.37784997,0.00000000
-0.37764997,0.04675197
-0.37744997,0.00000000
-0.37724997,0.00000000
-0.37704997,0.04675197
-0.37684997,0.00000000
