Time,Channel A
(ms),(V)

-1.00073406,0.00000000
-1.00023006,0.00000000
-0.99972606,0.04675197
-0.99922206,0.00000000
-0.99871806,0.00000000
-0.99821406,0.00000000
-0.99771006,0.04675197
-0.99720606,0.00000000
-0.99670206,0.04675197
-0.99619806,0.00000000
-0.99569406,0.00000000
-0.99519006,-0.04675197
-0.99468606,0.00000000
-0.99418206,0.04675197
-0.99367806,0.00000000
-0.99317406,0.00000000
-0.99267006,0.00000000
-0.99216606,0.04675197
-0.99166206,0.04675197
-0.99115806,0.00000000
-0.99065406,0.04675197
-0.99015006,0.04675197
-0.98964606,0.04675197
-0.98914206,0.04675197
-0.98863806,0.04675197
-0.98813406,0.04675197
-0.98763006,0.04675197
-0.98712606,0.04675197
-0.98662206,0.04675197
-0.98611806,0.00000000
-0.98561406,0.04675197
-0.98511006,-0.04675197
-0.98460606,0.00000000
-0.98410206,0.00000000
-0.98359806,0.00000000
-0.98309406,0.00000000
-0.98259006,0.00000000
-0.98208606,0.00000000
-0.98158206,0.00000000
-0.98107806,-0.04675197
-0.98057406,0.04675197
-0.98007006,0.00000000
-0.97956606,0.00000000
-0.97906206,0.00000000
-0.97855806,-0.04675197
-0.97805406,0.04675197
-0.97755006,0.04675197
-0.97704606,0.00000000
-0.97654206,0.04675197
-0.97603806,0.04675197
-0.97553406,0.04675197
-0.97503006,0.00000000
-0.97452606,0.00000000
-0.97402206,0.04675197
-0.97351806,0.00000000
-0.97301406,0.04675197
-0.97251006,0.04675197
-0.97200606,0.00000000
-0.97150206,0.04675197
-0.97099806,0.00000000
-0.97049406,0.00000000
-0.96999006,0.00000000
-0.96948606,0.04675197
-0.96898206,0.00000000
-0.96847806,0.04675197
-0.96797406,0.04675197
-0.96747006,0.04675197
-0.96696606,0.04675197
-0.96646206,0.00000000
-0.96595806,0.04675197
-0.96545406,0.09350394
-0.96495006,0.00000000
-0.96444606,0.04675197
-0.96394206,0.00000000
-0.96343806,0.04675197
-0.96293406,0.04675197
-0.96243006,0.04675197
-0.96192606,0.04675197
-0.96142206,0.00000000
-0.96091806,0.04675197
-0.96041406,0.04675197
-0.95991006,0.04675197
-0.95940606,0.00000000
-0.95890206,0.00000000
-0.95839806,0.04675197
-0.95789406,0.04675197
-0.95739006,0.00000000
-0.95688606,0.04675197
-0.95638206,0.04675197
-0.95587806,0.04675197
-0.95537406,0.09350394
-0.95487006,0.04675197
-0.95436606,0.04675197
-0.95386206,0.00000000
-0.95335806,0.04675197
-0.95285406,0.04675197
-0.95235006,0.09350394
-0.95184606,0.04675197
-0.95134206,0.04675197
-0.95083806,0.04675197
-0.95033406,0.00000000
-0.94983006,0.00000000
-0.94932606,0.04675197
-0.94882206,0.00000000
-0.94831806,0.00000000
-0.94781406,-0.04675197
-0.94731006,0.00000000
-0.94680606,0.04675197
-0.94630206,0.04675197
-0.94579806,0.00000000
-0.94529406,0.04675197
-0.94479006,0.04675197
-0.94428606,0.04675197
-0.94378206,0.04675197
-0.94327806,0.09350394
-0.94277406,0.00000000
-0.94227006,0.00000000
-0.94176606,0.00000000
